Algebra, "Advanced Algebra v. 1.0", "CC BY-NC-SA", "['PDF']"
Algebra, "Basic Algebra with Applications - 5th Edition", "CC BY-SA", "['PDF']"
Algebra, "Tea Time Linear Algebra Explorations in Mathematics - 2nd Edition", "CC BY-SA", "['PDF']"
Algebra, "Intermediate Algebra", "Free Documentation License (GNU)", "['PDF', 'Online']"
Algebra, "Elementary Algebra", "Free Documentation License (GNU)", "['PDF', 'Hardcopy', 'Online']"
Algebra, "Elementary Abstract Algebra: Examples and Applications", "CC BY-NC-SA", "['Online', 'PDF', 'Hardcopy']"
Algebra, "Fundamentals of Matrix Algebra", "CC BY-NC", "['PDF']"
Algebra, "Open Resources for Community College Algebra", "CC BY", "['Online', 'PDF', 'Hardcopy', 'LaTeX']"
Algebra, "College Algebra & Trigonometry", "CC BY-NC-SA", "['PDF']"
Algebra, "Introduction to GNU Octave: A brief tutorial for linear algebra and calculus students", "CC BY-SA", "['PDF', 'Hardcopy']"
Algebra, "Linear Algebra with Applications", "CC BY-NC-SA", "['PDF']"
Algebra, "Intermediate Algebra - 2e", "CC BY", "['PDF', 'Online']"
Algebra, "My Math GPS: Elementary Algebra Guided Problem Solving - 2016 Edition", "CC BY-NC-SA", "['PDF']"
Algebra, "Algebra and Trigonometry 2e", "CC BY", "['PDF', 'Online', 'eBook']"
Algebra, "Prealgebra - 2e", "CC BY", "['PDF', 'Online']"
Algebra, "College Algebra 2e - 2e", "CC BY", "['PDF', 'Online']"
Algebra, "A First Course in Linear Algebra", "CC BY", "['PDF', 'Hardcopy']"
Algebra, "Linear Algebra, Theory And Applications", "CC BY-SA", "['PDF', 'eBook']"
Algebra, "Abstract Algebra: Theory and Applications", "Free Documentation License (GNU)", "['PDF', 'Hardcopy', 'LaTeX', 'Online']"
Algebra, "A Computational Introduction to Number Theory and Algebra", "CC BY-NC-ND", "['PDF']"
Algebra, "Linear Algebra", "CC BY-NC-SA", "['PDF', 'LaTeX']"
Algebra, "College Algebra", "CC BY-NC-SA", "['PDF', 'Hardcopy', 'LaTeX']"
Analysis, "The Art of Polynomial Interpolation", "CC BY-NC", "['PDF', 'Online']"
Analysis, "First Semester in Numerical Analysis with Python", "CC BY-NC-SA", "['PDF']"
Analysis, "First Semester in Numerical Analysis with Julia", "CC BY-NC-SA", "['PDF']"
Analysis, "A Primer of Real Analysis", "CC BY-NC-SA", "['PDF']"
Analysis, "Introduction to Mathematical Analysis I - Second Edition", "CC BY-NC", "['Online', 'PDF']"
Analysis, "Introduction to Real Analysis", "CC BY-NC-SA", "['PDF', 'LaTeX']"
Analysis, "Basic Analysis: Introduction to Real Analysis", "CC BY-NC-SA", "['PDF', 'Hardcopy', 'Online', 'LaTeX']"
Calculus, "Calculus in Context - 2008 Edition", "CC BY", "['PDF']"
Calculus, "Optimal, Integral, Likely Optimization, Integral Calculus, and Probability for Students of Commerce and the Social Sciences", "CC BY-NC-SA", "['PDF']"
Calculus, "Elementary Calculus", "Free Documentation License (GNU)", "['PDF', 'LaTeX', 'Hardcopy']"
Calculus, "Multivariable Calculus", "CC BY", "['PDF', 'Hardcopy']"
Calculus, "APEX PreCalculus", "CC BY-NC", "['PDF']"
Calculus, "Ordinary Differential Equations", "CC BY", "['PDF']"
Calculus, "Active Calculus Multivariable", "CC BY-NC-SA", "['PDF', 'LaTeX', 'Online']"
Calculus, "Yet Another Calculus Text", "CC BY-NC-SA", "['PDF']"
Calculus, "Calculus: Early Transcendentals", "CC BY-NC-SA", "['PDF']"
Calculus, "Calculus-Based Physics I", "CC BY-SA", "['PDF', 'MS Word']"
Calculus, "Calculus-Based Physics II", "CC BY-SA", "['PDF', 'MS Word']"
Calculus, "Calculus Volume 2", "CC BY-NC-SA", "['Online', 'PDF']"
Calculus, "Calculus Volume 3", "CC BY-NC-SA", "['Online', 'PDF']"
Calculus, "Calculus Volume 1", "CC BY-NC-SA", "['PDF', 'Online']"
Calculus, "Precalculus", "CC BY-NC-SA", "['PDF']"
Calculus, "Calculus One", "CC BY-NC-SA", "['PDF']"
Calculus, "APEX Calculus", "CC BY-NC", "['PDF', 'Hardcopy']"
Calculus, "Active Calculus 2.0", "CC BY-NC-SA", "['PDF', 'Online']"
Calculus, "Elementary Differential Equations with Boundary Value Problems", "CC BY-NC-SA", "['PDF', 'LaTeX']"
Calculus, "Calculus for the Life Sciences: A Modeling Approach Volume 2", "CC BY-NC-ND", "['PDF', 'eBook']"
Calculus, "Precalculus: An Investigation of Functions", "CC BY-SA", "['PDF', 'Hardcopy', 'MS Word']"
Calculus, "Calculus for the Life Sciences: A Modeling Approach Volume 1", "CC BY-NC-ND", "['PDF', 'eBook']"
Calculus, "Vector Calculus", "Free Documentation License (GNU)", "['PDF', 'Hardcopy', 'LaTeX']"
Calculus, "Whitman Calculus", "CC BY-NC-SA", "['PDF', 'Hardcopy', 'Online']"
Calculus, "Calculus", "CC BY-NC-SA", "['PDF']"
Geometry-And-Trigonometry, "Trigonometry", "Free Documentation License (GNU)", "['PDF', 'Online', 'Hardcopy']"
Geometry-And-Trigonometry, "Euclid's Elements Redux", "CC BY-SA", "['PDF', 'Hardcopy', 'eBook']"
Geometry-And-Trigonometry, "Geometry with an Introduction to Cosmic Topology", "CC BY-SA", "['PDF', 'Online', 'Hardcopy']"
Geometry-And-Trigonometry, "Elementary College Geometry - 2021 ed.", "CC BY-NC-SA", "['PDF']"
Geometry-And-Trigonometry, "Euclidean plane and its relatives", "CC BY-SA", "['PDF', 'Hardcopy']"
Geometry-And-Trigonometry, "College Trigonometry", "CC BY-NC-SA", "['PDF', 'Hardcopy']"
Statistics, "Team Based Statistics", "CC BY-SA", "['Online']"
Statistics, "Technical Writing and Simple Statistics : for laboratory classes", "CC BY-NC", "['PDF']"
Statistics, "Big Data for Epidemiology: Applied Data Analysis Using National Health Surveys", "CC BY", "['eBook', 'PDF', 'XML', 'Online']"
Statistics, "Introduction to Applied Statistics for Psychology Students", "CC BY-NC-SA", "['eBook', 'PDF', 'Online', 'XML']"
Statistics, "Mostly Harmless Statistics", "CC BY-SA", "['Hardcopy', 'PDF']"
Statistics, "Intermediate Statistics with R", "CC BY-NC", "['PDF']"
Statistics, "Introduction to Statistical Thinking", "CC BY", "['PDF', 'Online']"
Statistics, "PSYC 2200: Elementary Statistics for the Behavioral and Social Sciences", "CC BY-SA", "['PDF', 'Online', 'Hardcopy']"
Statistics, "Statistical Thinking for the 21st Century", "CC BY-NC", "['Online', 'PDF', 'eBook']"
Statistics, "Answering questions with data: Introductory Statistics for Psychology Students", "CC BY-SA", "['Online', 'PDF']"
Statistics, "Lies, Damned Lies, or Statistics: How to Tell the Truth with Statistics", "CC BY-SA", "['PDF', 'LaTeX']"
Statistics, "Learning Statistics with R: A tutorial for psychology students and other beginners", "CC BY-SA", "['PDF', 'LaTeX']"
Statistics, "Advanced High School Statistics - 2nd Edition", "CC BY-SA", "['PDF', 'Hardcopy']"
Statistics, "Introductory Statistics with Randomization and Simulation - First Edition", "CC BY-NC-SA", "['PDF', 'Hardcopy']"
Statistics, "Introductory Business Statistics", "CC BY", "['Online', 'PDF']"
Statistics, "Introduction to Statistics", "CC0", "['PDF', 'Online', 'eBook']"
Statistics, "Statistical Inference For Everyone", "CC BY-SA", "['PDF', 'Online']"
Statistics, "Introductory Business Statistics with Interactive Spreadsheets - 1st Canadian Edition", "CC BY", "['Online', 'PDF', 'eBook']"
Statistics, "Introductory Statistics", "CC BY", "['Online', 'PDF', 'Hardcopy']"
Statistics, "Collaborative Statistics", "CC BY", "['PDF', 'Hardcopy', 'Online']"
Applied, "Mathematics for Biomedical Physics", "CC BY", "['PDF', 'MS Word']"
Applied, "Evidence-based Software Engineering", "CC BY-SA", "['PDF']"
Applied, "Informal Calculus with Applications to Biological and Environmental Sciences", "CC BY", "['eBook', 'PDF', 'XML', 'Online']"
Applied, "Technical Mathematics", "CC BY-NC-SA", "['Online', 'PDF', 'eBook']"
Applied, "Math in Society: Mathematics for liberal arts majors", "CC BY-SA", "['PDF', 'Online']"
Applied, "Introduction to Game Theory: a Discovery Approach", "CC BY-SA", "['Online', 'PDF']"
Applied, "Quantitative Problem Solving in Natural Resources", "CC BY-SA", "['PDF']"
Applied, "Yet Another Introductory Number Theory Textbook (Cryptology Emphasis Version)", "CC BY-SA", "['PDF', 'LaTeX']"
Applied, "Business Math: A Step-by-Step Handbook", "CC BY-NC-SA", "['PDF']"
Applied, "Calculo diferencial e integral", "CC BY-SA", "['PDF']"
Applied, "Applied Finite Mathematics", "CC BY", "['PDF', 'eBook', 'Online']"
Applied, "Applied Combinatorics", "CC BY-SA", "['PDF', 'Online', 'Hardcopy', 'LaTeX']"
Applied, "Applied Probability", "CC BY", "['PDF', 'eBook']"
Applied, "Combinatorics Through Guided Discovery", "Free Documentation License (GNU)", "['PDF', 'Online', 'Hardcopy', 'LaTeX']"
Applied, "Applied Discrete Structures", "CC BY-NC-SA", "['PDF', 'Hardcopy', 'Online']"
Applied, "OpenIntro Statistics - Fourth Edition", "CC BY-SA", "['PDF', 'Hardcopy', 'Hardcopy']"
Applied, "Introduction to Probability", "Free Documentation License (GNU)", "['PDF', 'Hardcopy']"
Pure, "Measure, Integration & Real Analysis", "CC BY-NC", "['PDF', 'Hardcopy']"
Pure, "The Joy of Cryptography", "CC BY-NC-SA", "['PDF']"
Pure, "Transition to Higher Mathematics: Structure and Proof - Second Edition", "CC BY", "['PDF']"
Pure, "A Cool Brisk Walk Through Discrete Mathematics", "CC BY-SA", "['PDF', 'Hardcopy']"
Pure, "An Introduction to the Theory of Numbers", "CC BY", "['PDF']"
Pure, "Introduction to Financial Mathematics Concepts and Computational Methods", "CC BY-NC-SA", "['PDF']"
Pure, "Mathematical Analysis I", "CC BY", "['PDF', 'Hardcopy']"
Pure, "Tea Time Numerical Analysis", "CC BY-SA", "['PDF', 'Hardcopy', 'Hardcopy']"
Pure, "Teaching Mathematics at Secondary Level", "CC BY", "['PDF', 'eBook', 'Hardcopy', 'Online']"
Pure, "The Essence of Mathematics Through Elementary Problems", "CC BY", "['PDF', 'Hardcopy', 'Online']"
Pure, "Advanced Problems in Mathematics: Preparing for University", "CC BY", "['PDF', 'Hardcopy']"
Pure, "Proofs and Concepts: The Fundamentals of Abstract Mathematics", "CC BY-NC-SA", "['PDF', 'LaTeX']"
Pure, "Linear Regression Using R: An Introduction to Data Modeling", "CC BY-NC", "['PDF']"
Pure, "Discrete Mathematics: An Open Introduction - 3rd Edition", "CC BY-SA", "['Online', 'PDF', 'Hardcopy', 'LaTeX']"
Pure, "Open Logic Project", "CC BY", "['PDF', 'LaTeX']"
Pure, "Spiral Workbook for Discrete Mathematics", "CC BY-NC-SA", "['PDF', 'LaTeX', 'Hardcopy']"
Pure, "Mathematical Reasoning: Writing and Proof, Version 2.1", "CC BY-NC-SA", "['PDF', 'Hardcopy']"
Pure, "Notes on Diffy Qs: Differential Equations for Engineers", "CC BY-NC-SA", "['Online', 'PDF', 'Hardcopy', 'LaTeX']"
Pure, "A Gentle Introduction to the Art of Mathematics", "Free Documentation License (GNU)", "['PDF', 'LaTeX', 'Online']"
Pure, "Fundamentals of Mathematics", "CC BY", "['PDF', 'Online']"
Pure, "Algorithms and Data Structures With Applications to Graphics and Geometry", "CC BY", "['PDF']"
Pure, "Book of Proof - Third Edition", "CC BY-ND", "['PDF', 'eBook']"
